0.4 374.26216463
0.5 260.51940351
0.6 184.91108213
0.7 132.01502591
0.8 94.30116991
0.9 67.26899325
1.0 47.58176192
1.1 32.78558377
1.2 21.4611085
1.3 12.96186711
1.4 6.81955926
1.5 2.5340305
1.6 -0.3581059
1.7 -2.23121769
1.8 -3.37102978
1.9 -4.02320245
2.0 -4.40667259
2.1 -4.60738504
2.2 -4.68170183
2.3 -4.66940878
2.4 -4.5964509
2.5 -4.46927976
2.6 -4.29063689
2.7 -4.07902055
2.8 -3.84838253
2.9 -3.60875381
3.0 -3.36731471
3.1 -3.12916261
3.2 -2.8978588
3.3 -2.67581519
3.4 -2.46460661
3.5 -2.26517479
3.6 -2.07799109
3.7 -1.9031823
3.8 -1.74062464
3.9 -1.5900131
4.0 -1.45091753
4.1 -1.32282036
4.2 -1.20515209
4.3 -1.09732151
4.4 -0.99872281
4.5 -0.90875449
4.6 -0.82683011
4.7 -0.75238955
4.8 -0.68493457
4.9 -0.62409919
5.0 -0.5695488
