4.000000000000000083e-03 6.859731002893217374e+05 -1.776839638880573511e+08
9.002506265664161206e-03 2.916692268694082159e+05 -3.490116818310455978e+07
1.400501253132832059e-02 1.797890269359554513e+05 -1.430992193909226358e+07
1.900751879699247998e-02 1.272646371879924991e+05 -7.694274457814063877e+06
2.401002506265664110e-02 9.694433753101002367e+04 -4.769467950430057012e+06
2.901253132832080223e-02 7.730732044936924649e+04 -3.227905494029706344e+06
3.401503759398495641e-02 6.361519575808419904e+04 -2.319077592940893956e+06
3.901754385964911753e-02 5.356326357922267925e+04 -1.739889687339008553e+06
4.402005012531327865e-02 4.589709405650837289e+04 -1.348986974937079474e+06
4.902255639097743978e-02 3.987622927491008159e+04 -1.073273712674076669e+06
5.402506265664160090e-02 3.503591029939589498e+04 -8.718874765408084495e+05
5.902756892230576202e-02 3.107001681522739091e+04 -7.205478607785954373e+05
6.403007518796992315e-02 2.776892017390791443e+04 -6.041011905525506008e+05
6.903258145363408427e-02 2.498438762205125022e+04 -5.126998419691474992e+05
7.403508771929824539e-02 2.260873772978275520e+04 -4.397239502029491123e+05
7.903759398496240651e-02 2.056192909750951731e+04 -3.805934454314514878e+05
8.404010025062656764e-02 1.878327371044424945e+04 -3.320599447625299217e+05
8.904260651629072876e-02 1.722595389555207294e+04 -2.917692421968225390e+05
9.404511278195488988e-02 1.585329717151695695e+04 -2.579824474275113607e+05
9.904761904761905100e-02 1.463618611428727854e+04 -2.293933390348744579e+05
1.040501253132832121e-01 1.355122017766433964e+04 -2.050058261430794664e+05
1.090526315789473732e-01 1.257938717342803648e+04 -1.840499612924138200e+05
1.140551378446115344e-01 1.170508728084024006e+04 -1.659232641090230609e+05
1.190576441102756955e-01 1.091540538858332729e+04 -1.501490153119104507e+05
1.240601503759398427e-01 1.019956127496874979e+04 -1.363461464682083169e+05
1.290626566416040177e-01 9.548489062007774919e+03 -1.242071902806005091e+05
1.340651629072681650e-01 8.954511931517276025e+03 -1.134819223126071302e+05
1.390676691729323400e-01 8.411087922782910027e+03 -1.039650792984806758e+05
1.440701754385964872e-01 7.912609382527428352e+03 -9.548703602419208619e+04
1.490726817042606622e-01 7.454243344036684903e+03 -8.790665558171896555e+04
1.540751879699248095e-01 7.031803438387820279e+03 -8.110575420750355988e+04
1.590776942355889845e-01 6.641646321640085262e+03 -7.498477814820672211e+04
