2.000000000000000042e-03 1.485901210744000040e+06 -5.799586123357435465e+08
1.200800800800800802e-02 2.268727451229274739e+05 -2.093318256899201125e+07
2.201601601601601427e-02 1.139349024197003600e+05 -6.400055178645239212e+06
3.202402402402402398e-02 7.087963451319799060e+04 -2.639149791371541098e+06
4.203203203203203370e-02 5.243801888277415128e+04 -1.435078395425172290e+06
5.204004004004004341e-02 3.990421554418106825e+04 -1.072819681936723646e+06
6.204804804804804619e-02 3.089994698129410972e+04 -7.317364951318121748e+05
7.205605605605605590e-02 2.491866624947770833e+04 -4.851418909492350067e+05
8.206406406406406562e-02 2.075916084532901004e+04 -3.654715676197157009e+05
9.207207207207207533e-02 1.747168989364829758e+04 -2.930743247342099785e+05
1.020800800800800850e-01 1.486129693640725600e+04 -2.302913088929573714e+05
1.120880880880880948e-01 1.281348500834231345e+04 -1.816586478642257280e+05
1.220960960960960906e-01 1.117104202010499648e+04 -1.490647951261526323e+05
1.321041041041041142e-01 9.804417096307590327e+03 -1.248349208463652758e+05
1.421121121121121100e-01 8.656485150386099122e+03 -1.053339650026932359e+05
1.521201201201201336e-01 7.683751064817426595e+03 -8.961343797206570162e+04
1.621281281281281295e-01 6.851674487201787997e+03 -7.719189042718644487e+04
1.721361361361361253e-01 6.131842668220000633e+03 -6.693136616664016037e+04
1.821441441441441489e-01 5.506536757640265932e+03 -5.829259643171110656e+04
1.921521521521521447e-01 4.960797759277506884e+03 -5.096167729532351950e+04
2.021601601601601683e-01 4.482616250298431623e+03 -4.478175525676973484e+04
2.121681681681681642e-01 4.061855295119406946e+03 -3.941204296755703399e+04
2.221761761761761877e-01 3.691563574044654160e+03 -3.469598512871037383e+04
2.321841841841841836e-01 3.365199308100442522e+03 -3.063358174022978346e+04
2.421921921921921794e-01 3.076226443456239394e+03 -2.721699798285407815e+04
2.522002002002001753e-01 2.819072876165203525e+03 -2.422707415140826924e+04
2.622082082082082266e-01 2.590205836616108172e+03 -2.156421918425451440e+04
2.722162162162162224e-01 2.386352016995948816e+03 -1.922843308139285728e+04
2.822242242242242183e-01 2.204240487724408922e+03 -1.721650811853753476e+04
2.922322322322322141e-01 2.040986387630875242e+03 -1.544104968807570003e+04
3.022402402402402655e-01 1.894514390136783504e+03 -1.386277327219939070e+04
3.122482482482482613e-01 1.762851096061129965e+03 -1.248167887090863587e+04
3.222562562562562571e-01 1.644025265679315908e+03 -1.129489519278328044e+04
3.322642642642642530e-01 1.536403841071639363e+03 -1.022619947865936592e+04
3.422722722722722488e-01 1.439056615936410253e+03 -9.241699499049522274e+03
3.522802802802803002e-01 1.351140958688370802e+03 -8.341395253953744032e+03
3.622882882882882960e-01 1.271813194611899917e+03 -7.526654311922573470e+03
3.722962962962962918e-01 1.200071965315368971e+03 -6.832862979337372963e+03
3.823043043043042877e-01 1.134591088884246346e+03 -6.275585595670818293e+03
3.923123123123123390e-01 1.074004332624548397e+03 -5.854822160922907642e+03
4.023203203203203349e-01 1.016947933610943096e+03 -5.567379449621595086e+03
4.123283283283283307e-01 9.624186959370791783e+02 -5.332692047044571154e+03
4.223363363363363265e-01 9.101496292312855303e+02 -5.115706955702341475e+03
4.323443443443443224e-01 8.599635686209638834e+02 -4.916424175594905137e+03
4.423523523523523737e-01 8.116833492335166511e+02 -4.734843706722262141e+03
4.523603603603603696e-01 7.651327239620685532e+02 -4.569799075856421041e+03
4.623683683683683654e-01 7.202638233368751344e+02 -4.392760732629076301e+03
4.723763763763763612e-01 6.772880166128664996e+02 -4.191483251234698400e+03
4.823843843843843571e-01 6.364478892789260271e+02 -3.965966631673285519e+03
4.923923923923924084e-01 5.979860268239362995e+02 -3.716210873944838113e+03
5.024004004004003487e-01 5.621438754142020571e+02 -3.443639893716085680e+03
5.124084084084084001e-01 5.290100605611520450e+02 -3.182031452032557809e+03
5.224164164164164514e-01 4.983679985456889767e+02 -2.945688086404667047e+03
5.324244244244243918e-01 4.699648362843259406e+02 -2.734609796832415668e+03
5.424324324324324431e-01 4.435477206935744903e+02 -2.548796583315799580e+03
5.524404404404404945e-01 4.188642331294373662e+02 -2.387714395341439285e+03
5.624484484484484348e-01 3.957178766181901892e+02 -2.239069814618647797e+03
5.724564564564564861e-01 3.740226150548302826e+02 -2.097727627399939593e+03
5.824644644644644265e-01 3.537053660266916495e+02 -1.963687833685318537e+03
5.924724724724724778e-01 3.346930471211070426e+02 -1.836950433474780766e+03
6.024804804804805292e-01 3.169125587048058037e+02 -1.717536254109790889e+03
6.124884884884884695e-01 3.002886723159019766e+02 -1.605910750402072154e+03
6.224964964964965208e-01 2.847420004893915575e+02 -1.502265730438839000e+03
6.325045045045044612e-01 2.701926744800519486e+02 -1.406601194220094158e+03
6.425125125125125125e-01 2.565608255426606661e+02 -1.318917141745834670e+03
6.525205205205205639e-01 2.437666740306205213e+02 -1.239107525128605630e+03
6.625285285285285042e-01 2.317410259980696310e+02 -1.164870365034172892e+03
6.725365365365365555e-01 2.204351423260714000e+02 -1.095269838352808620e+03
6.825445445445444959e-01 2.098026195502978624e+02 -1.030305945084514633e+03
6.925525525525525472e-01 1.997970542064205119e+02 -9.699786852292895674e+02
7.025605605605605986e-01 1.903720814736097111e+02 -9.142427833514514077e+02
7.125685685685685389e-01 1.814857520889580087e+02 -8.621432179282295465e+02
7.225765765765765902e-01 1.731045559018251083e+02 -8.132969813267603740e+02
7.325845845845845306e-01 1.651959335713105190e+02 -7.677040735470449135e+02
7.425925925925925819e-01 1.577273257565131530e+02 -7.253644945890823692e+02
7.526006006006006332e-01 1.506662049453914278e+02 -6.862415273279652865e+02
7.626086086086085736e-01 1.439835437617327329e+02 -6.495822339480500887e+02
7.726166166166166249e-01 1.376569314813273479e+02 -6.150887258976589465e+02
7.826246246246246763e-01 1.316646929072537375e+02 -5.827610031767918599e+02
7.926326326326326166e-01 1.259851528425905940e+02 -5.525990657854493975e+02
8.026406406406406679e-01 1.205966557151546112e+02 -5.245806182949214644e+02
8.126486486486486083e-01 1.154796242462562077e+02 -4.982610000648135724e+02
8.226566566566566596e-01 1.106183672183587134e+02 -4.734666621917085649e+02
8.326646646646647110e-01 1.059976196134348498e+02 -4.501976046756066694e+02
8.426726726726726513e-01 1.016021164134572956e+02 -4.284538275165082268e+02
8.526806806806807026e-01 9.741660690818366675e+01 -4.082193186039114039e+02
8.626886886886886430e-01 9.342730051186639173e+01 -3.891833642821295030e+02
8.726966966966966943e-01 8.962310716895373730e+01 -3.712263319363235610e+02
8.827047047047047457e-01 8.599322901967016719e+01 -3.543482215664937485e+02
8.927127127127126860e-01 8.252686820424014513e+01 -3.385490331726404065e+02
9.027207207207207373e-01 7.921323709860365625e+01 -3.238174803530989720e+02
9.127287287287286777e-01 7.604255528094701333e+01 -3.099403877980022344e+02
9.227367367367367290e-01 7.300688496386663928e+01 -2.968367863991677496e+02
9.327447447447447804e-01 7.009848504167652550e+01 -2.845066761565958018e+02
9.427527527527527207e-01 6.730961440869074863e+01 -2.729500570702863911e+02
9.527607607607607720e-01 6.463253875205869292e+01 -2.621595476580279183e+02
9.627687687687687124e-01 6.206016865346059319e+01 -2.519993916593167000e+02
9.727767767767767637e-01 5.958658172281813137e+01 -2.424187225354682766e+02
9.827847847847848151e-01 5.720597845084710542e+01 -2.334175402864825628e+02
9.927927927927927554e-01 5.491255932826343411e+01 -2.249958449123598143e+02
1.002800800800800696e+00 5.270053497126691155e+01 -2.171427907820902306e+02
1.012808808808808747e+00 5.056504398460059946e+01 -2.096640809370019838e+02
1.022816816816816798e+00 4.850288613583876440e+01 -2.024878988503896551e+02
1.032824824824824850e+00 4.651103372475193254e+01 -1.956142445222531592e+02
1.042832832832832901e+00 4.458645905111062291e+01 -1.890431179525925245e+02
1.052840840840840730e+00 4.272613441468542561e+01 -1.827745191414078931e+02
1.062848848848848782e+00 4.092703211524678153e+01 -1.768084480886990093e+02
1.072856856856856833e+00 3.918612445256525945e+01 -1.711449047944660151e+02
1.082864864864864884e+00 3.750038372641137840e+01 -1.657838892587088822e+02
1.092872872872872936e+00 3.586678223655568587e+01 -1.607254014814276388e+02
1.102880880880880987e+00 3.428230015899394090e+01 -1.559612395699527383e+02
1.112888888888888816e+00 3.274459148882400683e+01 -1.513518389602031391e+02
1.122896896896896868e+00 3.125249050520211824e+01 -1.468470009499216644e+02
1.132904904904904919e+00 2.980495074479550865e+01 -1.424467255391084279e+02
1.142912912912912970e+00 2.840092574427134409e+01 -1.381510127277633444e+02
1.152920920920921022e+00 2.703936904029681187e+01 -1.339598625158865843e+02
1.162928928928928851e+00 2.571923416953913133e+01 -1.298732749034781477e+02
1.172936936936936902e+00 2.443947466866542229e+01 -1.258912498905378214e+02
1.182944944944944954e+00 2.319904407434290050e+01 -1.220137874770657334e+02
1.192952952952953005e+00 2.199689592323875331e+01 -1.182408876630618835e+02
1.202960960960961057e+00 2.083198522905556516e+01 -1.145710539390113354e+02
1.212968968968968886e+00 1.970338520805235305e+01 -1.109800663735948802e+02
1.222976976976976937e+00 1.861037169046866424e+01 -1.074594482346428492e+02
1.232984984984984989e+00 1.755224041852095951e+01 -1.040091995221552992e+02
1.242992992992993040e+00 1.652828713442566411e+01 -1.006293202361322869e+02
1.253001001001001091e+00 1.553780758039919974e+01 -9.731981037657376987e+01
1.263009009009008921e+00 1.458009749865800941e+01 -9.408066994347980483e+01
1.273017017017016972e+00 1.365445263141847576e+01 -9.091189893685024970e+01
1.283025025025025023e+00 1.276016872089704890e+01 -8.781349735668521816e+01
1.293033033033033075e+00 1.189654150931015408e+01 -8.478546520298471023e+01
1.303041041041041126e+00 1.106286662491949713e+01 -8.182791489255934891e+01
1.313049049049048955e+00 1.025843114849919502e+01 -7.894257905143258824e+01
1.323057057057057007e+00 9.482507822275941578e+00 -7.613004770974873736e+01
1.333065065065065058e+00 8.734368018236315478e+00 -7.339032086750782469e+01
1.343073073073073109e+00 8.013283108366863416e+00 -7.072339852470986443e+01
1.353081081081081161e+00 7.318524464654150741e+00 -6.812928068135487081e+01
1.363089089089088990e+00 6.649363459084741024e+00 -6.560796733744288645e+01
1.373097097097097041e+00 6.005071463645165863e+00 -6.315945849297378345e+01
1.383105105105105093e+00 5.384919850321992385e+00 -6.078375414794765419e+01
1.393113113113113144e+00 4.788179991101778832e+00 -5.848085430236447024e+01
1.403121121121121195e+00 4.214124649060898342e+00 -5.624942185032641362e+01
1.413129129129129025e+00 3.662124568376933453e+00 -5.406980801917697477e+01
1.423137137137137076e+00 3.131711356559515824e+00 -5.193550266695137196e+01
1.433145145145145127e+00 2.622431565988754709e+00 -4.984650579364964784e+01
1.443153153153153179e+00 2.133831749044751369e+00 -4.780281739927178819e+01
1.453161161161161230e+00 1.665458458107603956e+00 -4.580443748381784985e+01
1.463169169169169059e+00 1.216858245557421059e+00 -4.385136604728780441e+01
1.473177177177177111e+00 7.875776637742829545e-01 -4.194360308968161632e+01
1.483185185185185162e+00 3.771632651382981205e-01 -4.008114861099930692e+01
1.493193193193193213e+00 -1.483839797043434716e-02 -3.826400261124088331e+01
1.503201201201201265e+00 -3.888814293884879092e-01 -3.649278006269153707e+01
1.513209209209209316e+00 -7.454634121065791819e-01 -3.477610692985674490e+01
1.523217217217217145e+00 -1.085151795285303367e+00 -3.311676367144915645e+01
1.533225225225225197e+00 -1.408520336767039804e+00 -3.151475028746869711e+01
1.543233233233233248e+00 -1.716142794394146520e+00 -2.997006677791541307e+01
1.553241241241241299e+00 -2.008592926008988755e+00 -2.848271314278930433e+01
1.563249249249249351e+00 -2.286444489453931084e+00 -2.705268938209036378e+01
1.573257257257257180e+00 -2.550271242571333641e+00 -2.567999549581862695e+01
1.583265265265265231e+00 -2.800646943203574324e+00 -2.436463148397403700e+01
1.593273273273273283e+00 -3.038145349193010603e+00 -2.310659734655661168e+01
1.603281281281281334e+00 -3.263340155318423363e+00 -2.190583542598124112e+01
1.613289289289289385e+00 -3.476801119196434975e+00 -2.076157295221599597e+01
1.623297297297297215e+00 -3.679091805995510445e+00 -1.967356761204779048e+01
1.633305305305305266e+00 -3.870775237559203941e+00 -1.864181940547657490e+01
1.643313313313313317e+00 -4.052414435731058084e+00 -1.766632833250236700e+01
1.653321321321321369e+00 -4.224572422354619050e+00 -1.674709439312517034e+01
1.663329329329329420e+00 -4.387812219273433456e+00 -1.588411758734498846e+01
1.673337337337337249e+00 -4.542696848331044812e+00 -1.507739791516183558e+01
1.683345345345345301e+00 -4.689789331371006398e+00 -1.432693537657568150e+01
1.693353353353353352e+00 -4.829652690236860835e+00 -1.363272997158653510e+01
1.703361361361361404e+00 -4.962847240016969863e+00 -1.299236593328459755e+01
1.713369369369369455e+00 -5.089773814395377016e+00 -1.237487445354266669e+01
1.723377377377377284e+00 -5.210587717626500748e+00 -1.177080992685639416e+01
1.733385385385385336e+00 -5.325423326764048504e+00 -1.118017235322574976e+01
1.743393393393393387e+00 -5.434415018861721514e+00 -1.060296173265074948e+01
1.753401401401401438e+00 -5.537697170973226335e+00 -1.003917806513139510e+01
1.763409409409409490e+00 -5.635404160152265085e+00 -9.488821350667681287e+00
1.773417417417417319e+00 -5.727670363452538105e+00 -8.951891589259625803e+00
1.783425425425425370e+00 -5.814630157927758169e+00 -8.428388780907202005e+00
1.793433433433433422e+00 -5.896417920631622067e+00 -7.918312925610422326e+00
1.803441441441441473e+00 -5.973168306177552012e+00 -7.421905979872787995e+00
1.813449449449449524e+00 -6.045031426128002927e+00 -6.942137508994848716e+00
1.823457457457457354e+00 -6.112180686469095292e+00 -6.479888426412446556e+00
1.833465465465465405e+00 -6.174791421379190126e+00 -6.035158732125564640e+00
1.843473473473473456e+00 -6.233038965036638679e+00 -5.607948426134210074e+00
1.853481481481481508e+00 -6.287098651619803746e+00 -5.198257508438386409e+00
1.863489489489489559e+00 -6.337145815307037466e+00 -4.806085979038089206e+00
1.873497497497497388e+00 -6.383355790276697306e+00 -4.431433837933330011e+00
1.883505505505505440e+00 -6.425903910707145172e+00 -4.074301085124091060e+00
1.893513513513513491e+00 -6.464965510776733204e+00 -3.734687720610381234e+00
1.903521521521521542e+00 -6.500715366340882539e+00 -3.412118106575758869e+00
1.913529529529529594e+00 -6.533298824242876890e+00 -3.100998445849318941e+00
1.923537537537537423e+00 -6.562817814518188797e+00 -2.799714994142580515e+00
1.933545545545545474e+00 -6.589370778025459785e+00 -2.508267751455532046e+00
1.943553553553553526e+00 -6.613056155623326049e+00 -2.226656717788178863e+00
1.953561561561561577e+00 -6.633972388170424672e+00 -1.954881893140522742e+00
1.963569569569569628e+00 -6.652217916525391850e+00 -1.692943277512560796e+00
1.973577577577577680e+00 -6.667891181546868218e+00 -1.440840870904295690e+00
1.983585585585585509e+00 -6.681090624093488195e+00 -1.198574673315731420e+00
1.993593593593593560e+00 -6.691914685023893306e+00 -9.661446847468577737e-01
2.003601601601601168e+00 -6.700461745931904467e+00 -7.435015398157925892e-01
2.013609609609609219e+00 -6.706827227702924610e+00 -5.300884428090159028e-01
