0.002 5018861.202172
0.004 2449196.956525
0.006 1597907.91514
0.008 1173288.020433
0.01 919316.233214
0.012 750839.885255
0.014 631178.119846
0.016 541735.3601480001
0.018 472444.279704
0.02 417233.156952
0.04 174990.142014
0.06 100051.098581
0.08 65036.748199
0.1 45458.159047
0.12 33409.054217
0.14 25404.921976999998
0.16 19761.050496
0.18 15640.967896
0.2 12577.445774000002
0.24 8498.576795
0.28 6051.75214
0.32 4482.3864029999995
0.36 3373.4574549999998
0.4 2561.415125
0.45 1856.071928
0.5 1383.011166
0.55 1056.959558
0.6 825.1808139999999
0.65 649.4818909999999
0.7 507.650253
0.75 393.73342
0.8 305.514996
0.85 238.33455500000002
0.9 187.313038
0.95 148.489731
1.0 118.672291
1.1 77.242394
1.2 50.862984
1.3 33.195928
1.4 20.920341999999998
1.5 12.230267999999999
1.6 6.077021
1.7 1.7800259999999999
1.8 -1.0631300000000001
1.9 -2.89726
2.0 -4.105848
2.1 -4.858624000000001
2.2 -5.28439
2.3 -5.476998
2.4 -5.504928
2.5 -5.417598
2.6 -4.968218
2.7 -4.477227
2.8 -4.023967000000001
2.9 -3.60957
3.0 -3.2335520000000004
3.1 -2.89385
3.2 -2.587199
3.3 -2.3110910000000002
3.4 -2.063013
3.5 -1.840157
3.6 -1.6399080000000001
3.7 -1.366559
3.8 -1.1329980000000002
3.9 -0.9399280000000001
4.0 -0.7802020000000001
5.0 -0.12841000000000014
6.0 -0.027919000000000027
7.0 -0.010950000000000015
8.0 -0.007129000000000163
9.0 -0.005720000000000169
10.0 -0.004922000000000093
