0.002 1595848.542894
0.004 785943.246776
0.006 516096.722118
0.008 381281.173852
0.01 300500.088368
0.012 246721.34257900002
0.014 208354.649954
0.016 179623.3366
0.018 157313.532665
0.02 139541.940985
0.04 60704.397387
0.06 35362.737275
0.08 23311.436183
0.1 16544.470566
0.12 12330.818663
0.14 9497.950361
0.16 7480.246317
0.18 5989.56191
0.2 4863.720711
0.24 3331.213806
0.28 2390.6121040000003
0.32 1788.3979259999999
0.36 1390.3689049999998
0.4 1112.473135
0.45 811.641901
0.5 596.506468
0.55 446.191712
0.6 340.062212
0.65 263.736671
0.7 207.678648
0.75 165.624502
0.8 133.395564
0.85 108.101254
0.9 87.92497
0.95 71.452369
1.0 57.624033000000004
1.1 35.642532
1.2 19.586602
1.3 8.368411
1.4 0.8929450000000001
1.5 -3.875852
1.6 -6.764878
1.7 -8.377921
1.8 -9.138539000000002
1.9 -9.340012000000002
2.0 -9.182643
2.1 -8.804059
2.2 -7.805151
2.3 -6.821837
2.4 -5.970719000000001
2.5 -5.240762
2.6 -4.615115
2.7 -4.077834
2.8 -3.6053080000000004
2.9 -3.148524
3.0 -2.750623
3.1 -2.38242
3.2 -1.9037960000000003
3.3 -1.5228070000000002
3.4 -1.2192660000000002
3.5 -0.9772050000000001
3.6 -0.7838890000000003
3.7 -0.6292850000000003
3.8 -0.50556
3.9 -0.4064700000000001
4.0 -0.3270700000000004
5.0 -0.03885000000000005
6.0 -0.005137000000000391
7.0 -0.0007670000000001842
8.0 -0.00012500000000015277
9.0 -2.200000000041058e-05
10.0 -3.000000000419334e-06
