0.002 1485901.210744
0.004 729979.4549690001
0.006 478189.478534
0.008 352433.730363
0.01 277119.424437
0.012 227040.496007
0.014 191421.833373
0.016 164846.3728
0.018 144295.13934000002
0.02 127901.780078
0.04 55431.08399
0.06 32465.671368000003
0.08 21530.073171
0.1 15352.838731
0.12 11489.410181
0.14 8882.890214
0.16 7018.481196000001
0.18 5633.360899
0.2 4580.691000000001
0.24 3136.654191
0.28 2243.0006639999997
0.32 1669.793562
0.36 1289.2384260000001
0.4 1029.931912
0.45 775.96447
0.5 570.489516
0.55 424.73679999999996
0.6 321.208616
0.65 246.91429200000002
0.7 192.730745
0.75 152.463661
0.8 121.99136600000001
0.85 98.517975
0.9 80.09955500000001
0.95 65.360298
1.0 53.31171
1.1 34.733543
1.2 21.172817
1.3 11.313061999999999
1.4 4.39076
1.5 -0.2711640000000002
1.6 -3.190827
1.7 -4.9188220000000005
1.8 -5.947336
1.9 -6.488503
2.0 -6.697642
2.1 -6.684474
2.2 -6.524822
2.3 -6.2702539999999996
2.4 -5.9554290000000005
2.5 -5.266153
2.6 -4.631657000000001
2.7 -4.074471
2.8 -3.58619
2.9 -3.15794
3.0 -2.7824880000000003
3.1 -2.453091
3.2 -2.163491
3.3 -1.9084770000000002
3.4 -1.683836
3.5 -1.3847170000000002
3.6 -1.139164
3.7 -0.9389860000000001
3.8 -0.7756230000000002
3.9 -0.6422030000000001
4.0 -0.5330960000000002
5.0 -0.1026600000000002
6.0 -0.03722800000000026
7.0 -0.023541000000000256
8.0 -0.018583000000000016
9.0 -0.015728000000000186
10.0 -0.013717000000000201
